Weld ID,Hardness / kg mm^{-2},Yield strength / MPa
PantK-1990-w1,459.0,509
PantK-1990-w2,405.0,518
PantK-1990-w3,451.0,511
PantK-1990-w4.0,432.0,514
PantK-1990-w4.1,264.0,562
PantK-1990-w4.2,241.0,514
PantK-1990-w4.3,251.0,552
PantK-1990-w4.4,225.0,511
PantK-1990-w4.5,233.0,533
PantK-1990-w4.6,208.0,508
PantK-1990-w5.0,373.0,545
PantK-1990-w5.1,224.0,528
PantK-1990-w5.2,210.0,508
PantK-1990-w5.3,212.0,509
PantK-1990-w5.4,202.0,506
PantK-1990-w5.5,204.0,496
PantK-1990-w5.6,201.0,506
PantK-1990-w6.0,398.0,524
PantK-1990-w6.1,249.0,534
PantK-1990-w6.2,226.0,507
PantK-1990-w6.3,234.0,518
PantK-1990-w6.4,219.0,505
PantK-1990-w6.5,224.0,505
PantK-1990-w6.6,212.0,504
PantK-1990-w7.0,467.0,508
PantK-1990-w7.1,277.0,565
PantK-1990-w7.2,254.0,519
PantK-1990-w7.3,263.0,560
PantK-1990-w7.4,237.0,517
PantK-1990-w7.5,249.0,552
PantK-1990-w7.6,226.0,515
PantK-1990-w8.0,362.0,540
PantK-1990-w8.1,291.0,556
PantK-1990-w8.2,262.0,513
PantK-1990-w8.3,266.0,551
PantK-1990-w8.4,253.0,512
PantK-1990-w8.5,257.0,546
PantK-1990-w8.6,246.0,511
PantK-1990-bw1.0,264.0,561
PantK-1990-bw2.0,269.0,567
PantK-1990-bw3.0,233.0,515
PantK-1990-bw4.0,226.0,514
Wolst-1974-S25,244.0,606
Wolst-1974-S30,247.0,632
Wolst-1974-S35,253.0,629
Wolst-1974-M80,222.0,553
Wolst-1974-M110,240.0,597
Wolst-1974-AA,227.0,558
Wolst-1974-BB,233.0,579
Wolst-1974-FF,212.0,526
Wolst-1974-KK,209.0,532
