,0
Unnamed: 0,0.0
Carbon concentration / weight %,0.0
Silicon concentration / weight %,0.0
Manganese concentration / weight %,0.0
Sulphur concentration / weight %,0.24
Phosphorus concentration / weight %,0.61
Nickel concentration / weight %,57.81
Chromium concentration / weight %,52.54
Molybdenum concentration / weight %,52.0
Vanadium concentration / weight %,43.83
Copper concentration / weight %,65.01
Cobalt concentration / weight %,92.19
Tungsten concentration / weight %,95.46
Oxygen concentration / parts per million by weight,23.97
Titanium concentration / parts per million by weight,43.4
Nitrogen concentration / parts per million by weight,24.82
Aluminium concentration / parts per million by weight,45.22
Boron concentration / parts per million by weight,69.49
Niobium concentration / parts per million by weight,54.48
Tin concentration / parts per million by weight,82.08
Arsenic concentration / parts per million by weight,85.84
Antimony concentration / parts per million by weight,84.26
Current / A,15.01
Voltage / V,15.01
AC or DC,13.01
Electrode positive or negative,9.44
Heat input / kJ mm^{-1},0.0
Interpass temperature / °C,0.0
Type of weld,0.0
Post weld heat treatment temperature / °C,0.79
Post weld heat treatment time / hours,0.79
Yield strength / MPa,52.78
Ultimate tensile strength / MPa,55.33
Elongation / %,57.63
Reduction of Area / %,57.32
Charpy temperature / °C,46.79
Charpy impact toughness / J,46.79
Hardness / kg mm^{-2},91.65
50% FATT,98.12
Primary ferrite in microstructure / %,94.07
Ferrite with second phase / %,94.55
Acicular ferrite / %,94.55
Martensite / %,94.61
Ferrite with carbide aggregate / %,94.61
Weld ID,0.0
