,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Niobium concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.12,0.3,1.4,0.016,0.025,0.14,0.11,0.025,0.25,210.0,50.0,150.0,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,426.0,652.0,21.0,54.0,Ga&K-1975II-1aw,1,0,Ga&K
1,0.11,0.35,1.42,0.01,0.016,0.067,0.075,0.022,0.17,260.0,80.0,180.0,230.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,493.0,649.0,25.0,60.0,Ga&K-1975II-2aw,1,0,Ga&K
2,0.11,0.33,1.41,0.019,0.023,0.065,0.082,0.016,0.19,302.5,77.5,240.0,180.0,450.0,30.0,1.0,1.9,300,SA,0.0,0.0,420.0,560.0,25.0,55.77777777777778,Ga&K-1975II-3aw,1,0,Ga&K
3,0.11,0.31,1.37,0.013,0.019,0.09,0.06,0.018,0.18,302.5,77.5,220.0,120.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,488.0,618.0,26.0,60.0,Ga&K-1975II-4aw,1,0,Ga&K
4,0.15,0.31,1.23,0.015,0.02,0.06,0.065,0.02,0.15,302.5,77.5,250.0,200.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,432.0,598.0,16.0,40.0,Ga&K-1975II-5aw,1,0,Ga&K
5,0.08,0.36,1.6,0.017,0.021,0.065,0.075,0.017,0.18,302.5,77.5,300.0,170.0,450.0,30.0,1.0,1.9,300,SA,0.0,0.0,457.0,556.0,25.0,60.0,Ga&K-1975II-6aw,1,0,Ga&K
6,0.09,0.4,1.6,0.016,0.016,0.04,0.055,0.015,0.11,400.0,80.0,270.0,150.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,507.0,647.0,22.0,60.0,Ga&K-1975II-7aw,1,0,Ga&K
7,0.1,0.38,1.5,0.02,0.021,0.055,0.065,0.017,0.14,302.5,77.5,310.0,200.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,452.0,581.0,18.0,50.0,Ga&K-1975II-8aw,1,0,Ga&K
8,0.12,0.29,1.5,0.008,0.017,0.085,0.075,0.3,0.19,302.5,77.5,190.0,100.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,544.0,717.0,21.0,60.0,Ga&K-1975II-9aw,1,0,Ga&K
9,0.09,0.46,1.81,0.017,0.024,0.1,0.08,0.28,0.21,340.0,100.0,260.0,140.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,620.0,712.0,22.0,58.0,Ga&K-1975II-10aw,1,0,Ga&K
