,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.077,0.27,1.46,0.008,0.007,459.0,28.0,81.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,471.0,544.0,25.2,77.0,KocakPREv-TiN-1994-Wa,1,0,KocakPREv
1,0.073,0.26,1.41,0.007,0.011,392.0,90.0,83.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,478.0,540.0,24.2,78.9,KocakPREv-TiN-1994-Wb,1,0,KocakPREv
2,0.074,0.3,1.45,0.007,0.009,337.0,120.0,84.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,480.0,538.0,27.8,79.8,KocakPREv-TiN-1994-Wc,1,0,KocakPREv
3,0.072,0.38,1.5,0.006,0.01,291.0,260.0,77.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,509.0,578.0,26.4,78.9,KocakPREv-TiN-1994-Wd,1,0,KocakPREv
4,0.069,0.45,1.47,0.005,0.006,282.0,410.0,77.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,504.0,577.0,25.8,79.8,KocakPREv-TiN-1994-Xa,1,0,KocakPREv
5,0.07,0.45,1.5,0.005,0.006,294.0,550.0,75.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,530.0,597.0,25.0,81.6,KocakPREv-TiN-1994-Xb,1,0,KocakPREv
6,0.074,0.28,1.58,0.008,0.008,404.0,5.0,145.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,473.0,566.0,24.0,77.0,KocakPREv-TiN-1994-O1,1,0,KocakPREv
7,0.068,0.28,1.4,0.01,0.008,409.0,31.0,148.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,482.0,545.0,28.0,78.9,KocakPREv-TiN-1994-W1a,1,0,KocakPREv
8,0.069,0.31,1.5,0.008,0.008,400.0,51.0,160.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,522.0,584.0,26.4,78.9,KocakPREv-TiN-1994-W1b,1,0,KocakPREv
9,0.07,0.29,1.5,0.008,0.009,341.0,120.0,164.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,513.0,573.0,25.2,76.0,KocakPREv-TiN-1994-W1c,1,0,KocakPREv
10,0.068,0.39,1.51,0.007,0.009,278.0,300.0,166.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,546.0,611.0,24.0,78.0,KocakPREv-TiN-1994-W1d,1,0,KocakPREv
11,0.066,0.47,1.48,0.007,0.011,285.0,410.0,164.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,584.0,639.0,23.0,75.0,KocakPREv-TiN-1994-X1a,1,0,KocakPREv
12,0.07,0.45,1.5,0.004,0.006,297.0,590.0,155.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,535.0,599.0,25.6,76.0,KocakPREv-TiN-1994-X1b,1,0,KocakPREv
13,0.073,0.27,1.66,0.009,0.008,399.0,5.0,235.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,505.0,607.0,24.0,76.0,KocakPREv-TiN-1994-O2,1,0,KocakPREv
14,0.069,0.26,1.45,0.01,0.009,391.0,29.0,226.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,492.0,581.0,25.8,77.9,KocakPREv-TiN-1994-W2a,1,0,KocakPREv
15,0.073,0.29,1.53,0.009,0.007,419.0,46.0,243.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,538.0,591.0,24.9,74.5,KocakPREv-TiN-1994-W2b,1,0,KocakPREv
16,0.07,0.28,1.45,0.009,0.009,315.0,120.0,239.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,523.0,599.0,29.2,77.0,KocakPREv-TiN-1994-W2c,1,0,KocakPREv
17,0.067,0.4,1.48,0.006,0.008,286.0,320.0,253.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,546.0,621.0,23.6,76.0,KocakPREv-TiN-1994-W2d,1,0,KocakPREv
18,0.068,0.47,1.46,0.007,0.006,297.0,450.0,249.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,578.0,631.0,24.6,78.0,KocakPREv-TiN-1994-X2a,1,0,KocakPREv
19,0.066,0.43,1.47,0.005,0.006,322.0,690.0,240.0,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,552.0,615.0,26.4,78.0,KocakPREv-TiN-1994-X2b,1,0,KocakPREv
