,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,50% FATT,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.094,0.31,1.32,0.009,0.017,0.05,0.04,0.01,0.01,0.11,233.0,100.0,95.0,140.0,10.0,100.0,100.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,429.0,537.0,22.0,75.0,-15.0,70.0,-10.0,Wats-1981-AWO,1,0,Wats
1,0.11,0.36,1.61,0.017,0.03,0.06,0.052,0.02,0.01,0.12,305.0,100.0,95.0,140.0,10.0,200.0,100.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,542.0,625.0,19.0,64.0,-7.0,70.0,-10.0,Wats-1981-BWO,1,0,Wats
2,0.1,0.28,1.42,0.011,0.024,0.09,0.08,0.04,0.01,0.15,430.0,100.0,150.0,150.0,10.0,300.0,200.0,200.0,200.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,493.0,618.0,18.0,75.0,-6.0,70.0,-10.0,Wats-1981-CWO,1,0,Wats
3,0.08,0.25,1.35,0.009,0.017,0.09,0.07,0.01,0.01,0.14,392.0,100.0,122.0,120.0,10.0,200.0,100.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,547.0,635.0,15.0,66.0,-18.0,70.0,-15.0,Wats-1981-DWO,1,0,Wats
4,0.1,0.31,1.37,0.02,0.028,0.08,0.06,0.02,0.01,0.15,336.0,100.0,99.0,130.0,10.0,300.0,200.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,498.0,621.0,16.0,70.0,16.0,70.0,5.0,Wats-1981-EWO,1,0,Wats
5,0.076,0.28,1.27,0.012,0.02,0.1,0.06,0.01,0.01,0.15,435.0,100.0,121.0,160.0,10.0,300.0,200.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,503.0,625.0,17.0,72.0,-5.0,70.0,-10.0,Wats-1981-FWO,1,0,Wats
6,0.094,0.18,1.05,0.013,0.017,0.1,0.05,0.01,0.01,0.11,511.0,100.0,100.0,50.0,10.0,100.0,100.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,380.0,486.0,22.0,75.0,1.0,70.0,5.0,Wats-1981-AW5,1,0,Wats
7,0.094,0.16,1.01,0.018,0.026,0.13,0.05,0.01,0.01,0.11,569.0,100.0,102.0,50.0,10.0,100.0,100.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,402.0,498.0,18.0,70.0,7.0,70.0,0.0,Wats-1981-BW5,1,0,Wats
8,0.09,0.15,1.18,0.012,0.018,0.13,0.08,0.03,0.01,0.14,621.0,100.0,131.0,50.0,10.0,200.0,100.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,427.0,518.0,18.0,75.0,30.0,70.0,15.0,Wats-1981-CW5,1,0,Wats
9,0.072,0.11,0.85,0.015,0.017,0.14,0.07,0.01,0.01,0.14,543.0,100.0,119.0,50.0,10.0,100.0,100.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,436.0,525.0,15.0,77.0,38.0,70.0,30.0,Wats-1981-DW5,1,0,Wats
10,0.081,0.16,0.97,0.021,0.024,0.15,0.07,0.02,0.01,0.19,584.0,100.0,95.0,50.0,10.0,200.0,200.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,451.0,545.0,17.818181818181817,74.0,12.0,70.0,10.0,Wats-1981-EW5,1,0,Wats
11,0.076,0.19,1.16,0.02,0.02,0.17,0.07,0.02,0.02,0.17,609.0,100.0,131.0,50.0,10.0,200.0,200.0,200.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,441.0,557.0,16.0,69.0,34.0,70.0,25.0,Wats-1981-FW5,1,0,Wats
